Study_Hours_per_Week,Attendance_Rate,Past_Exam_Scores,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
31,68.26784098,86,Yes,63,Pass
16,78.22292713,73,No,50,Fail
21,87.52509624,74,No,55,Fail
27,92.07648302,99,No,65,Pass
37,98.65551746,63,Yes,70,Pass
30,84.15919282,77,No,61,Pass
24,89.38949444,95,Yes,61,Pass
31,50.68359824,78,No,50,Fail
34,80.8631856,94,Yes,65,Pass
27,65.49684631,86,No,55,Fail
35,69.83246865,58,Yes,57,Fail
11,92.10457075,95,No,62,Pass
25,78.8815977,81,No,59,Fail
18,66.60732063,64,No,50,Fail
12,62.21765777,62,No,50,Fail
34,55.03973015,71,Yes,50,Fail
32,93.03160089,78,Yes,77,Pass
24,71.08519673,81,Yes,56,Fail
37,97.70434683,55,Yes,58,Fail
39,85.19730676,62,No,57,Fail
27,92.07648302,99,No,65,Pass
14,80.09676978,79,Yes,55,Fail
36,97.22048628,93,Yes,65,Pass
27,93.82220379,57,No,57,Fail
20,89.07572409,92,Yes,62,Pass
26,70.01502445,69,No,50,Fail
27,99.02884001,85,Yes,64,Pass
38,78.98249672,96,No,71,Pass
32,68.89252746,66,Yes,58,Fail
27,79.25747662,67,Yes,50,Fail
39,50.91212407,52,Yes,50,Fail
14,78.79992089,91,Yes,61,Pass
15,77.83607924,95,Yes,61,Pass
28,96.20208796,83,Yes,67,Pass
20,59.22314357,96,Yes,64,Pass
37,93.053401,81,Yes,61,Pass
29,68.86429826,92,No,64,Pass
14,84.35827527,94,Yes,59,Fail
28,90.26574837,74,Yes,64,Pass
13,73.71186544,77,Yes,55,Fail
32,88.44588707,78,Yes,56,Fail
37,81.96806785,67,Yes,56,Fail
29,68.86429826,92,No,64,Pass
21,65.80982911,92,No,65,Pass
23,86.60922892,79,No,55,Fail
35,70.31961541,85,No,59,Fail
22,60.08652312,78,Yes,50,Fail
35,66.6407893,78,Yes,54,Fail
16,85.92286354,83,No,55,Fail
20,89.07572409,92,Yes,62,Pass
37,76.48308393,82,Yes,63,Pass
19,90.81928676,88,Yes,56,Fail
33,77.4301559,94,Yes,58,Fail
37,89.82358878,84,Yes,68,Pass
21,80.15987011,63,No,50,Fail
12,88.69172616,80,Yes,50,Fail
10,91.25663383,85,Yes,63,Pass
29,62.6944282,56,Yes,54,Fail
22,92.40640477,51,No,53,Fail
37,66.79329286,70,Yes,55,Fail
35,95.53120018,66,No,65,Pass
39,81.66203875,97,Yes,66,Pass
36,60.25226643,80,No,50,Fail
15,91.85394954,93,Yes,67,Pass
39,81.66203875,97,Yes,66,Pass
22,93.41505535,88,No,63,Pass
37,86.07664306,60,No,51,Fail
35,87.08434721,73,Yes,60,Pass
15,56.43741991,58,Yes,50,Fail
17,54.55010455,91,No,50,Fail
26,80.30509405,62,No,56,Fail
35,59.11419392,55,No,57,Fail
26,59.80565498,52,Yes,50,Fail
16,60.63403922,76,No,50,Fail
24,73.6605059,68,No,57,Fail
34,76.82406757,55,No,50,Fail
32,62.41132214,60,Yes,50,Fail
27,96.64690335,65,No,63,Pass
34,98.72736326,94,Yes,66,Pass
29,84.88337868,54,Yes,50,Fail
35,98.75335815,89,No,71,Pass
20,97.93135887,95,Yes,61,Pass
38,94.98236986,84,No,71,Pass
30,80.52023335,52,No,59,Fail
37,86.02580307,57,No,60,Pass
23,65.72982784,91,No,58,Fail
35,76.86317084,79,Yes,57,Fail
11,54.36450898,62,Yes,50,Fail
30,74.23891836,71,Yes,60,Pass
15,79.37268021,83,No,61,Pass
15,77.83607924,95,Yes,61,Pass
28,90.26574837,74,Yes,64,Pass
16,54.34625075,87,No,50,Fail
33,60.22722966,83,No,56,Fail
25,86.14480483,54,Yes,50,Fail
19,56.69260594,72,Yes,50,Fail
25,77.37231534,79,No,57,Fail
21,74.91238489,96,No,61,Pass
10,67.25960724,96,Yes,64,Pass
13,99.02313625,91,Yes,55,Fail
23,87.49553747,88,No,57,Fail
21,77.43576546,97,No,52,Fail
28,87.21248259,75,No,65,Pass
32,71.10180298,88,Yes,51,Fail
34,67.69356883,75,No,56,Fail
17,76.71731375,79,No,50,Fail
13,78.47217589,52,Yes,50,Fail
39,81.66203875,97,Yes,66,Pass
19,96.60071711,54,No,52,Fail
19,87.95179228,100,No,64,Pass
24,62.53653303,82,Yes,52,Fail
21,95.86978065,58,Yes,66,Pass
14,94.87152049,74,Yes,63,Pass
33,91.33994139,53,No,50,Fail
14,52.78267447,77,Yes,50,Fail
31,68.26784098,86,Yes,63,Pass
12,88.59409903,77,Yes,50,Fail
26,63.32491967,62,Yes,50,Fail
33,95.65828761,84,Yes,61,Pass
14,78.79992089,91,Yes,61,Pass
14,54.33526059,61,Yes,50,Fail
37,61.36978104,100,No,66,Pass
32,76.1801138,81,No,56,Fail
20,89.07572409,92,Yes,62,Pass
39,89.50423186,67,Yes,64,Pass
32,98.39868827,64,No,67,Pass
33,83.49587323,100,No,71,Pass
35,74.53743896,74,Yes,57,Fail
30,74.71369251,75,No,53,Fail
20,51.1092371,92,Yes,51,Fail
38,76.75348595,70,No,64,Pass
28,90.03748857,78,No,67,Pass
12,78.87431355,79,No,51,Fail
21,95.86978065,58,Yes,66,Pass
17,61.7845873,87,Yes,57,Fail
31,91.90534816,88,No,68,Pass
32,80.74751316,76,No,52,Fail
22,66.96356229,73,No,61,Pass
14,77.44609899,81,No,57,Fail
31,68.72176849,78,Yes,53,Fail
11,62.05424162,63,No,52,Fail
39,89.50423186,67,Yes,64,Pass
35,66.51742406,74,No,59,Fail
29,68.96528492,72,Yes,50,Fail
22,66.50497567,64,No,50,Fail
19,81.68792819,56,No,50,Fail
37,86.04065482,64,No,61,Pass
36,97.22048628,93,Yes,65,Pass
34,78.288831,87,Yes,65,Pass
17,76.72279456,73,No,50,Fail
27,84.52801162,61,No,52,Fail
26,95.93752611,75,No,61,Pass
27,78.27541737,86,Yes,59,Fail
14,76.72117519,50,Yes,50,Fail
31,53.31179889,98,No,67,Pass
14,70.72522921,53,No,50,Fail
30,56.61381056,64,No,52,Fail
35,76.59287398,67,No,62,Pass
19,67.46934995,54,No,50,Fail
15,84.82507331,79,Yes,57,Fail
34,98.72736326,94,Yes,66,Pass
21,65.80982911,92,No,65,Pass
37,92.32039247,61,No,61,Pass
32,52.57979033,81,No,50,Fail
13,94.37302413,69,Yes,62,Pass
33,99.26836561,90,Yes,64,Pass
35,54.42041117,98,Yes,59,Fail
30,55.24345833,98,No,62,Pass
32,69.64947245,58,No,57,Fail
13,79.92213506,79,No,52,Fail
16,79.95146824,71,Yes,55,Fail
38,98.10493929,60,No,64,Pass
31,67.57700806,96,Yes,62,Pass
22,66.96356229,73,No,61,Pass
12,77.86526844,77,No,50,Fail
23,80.39471969,60,Yes,50,Fail
19,72.85001096,79,No,53,Fail
28,76.9890531,81,Yes,65,Pass
25,54.39340556,52,Yes,50,Fail
24,54.46021644,96,No,51,Fail
28,76.9890531,81,Yes,65,Pass
26,93.91103337,94,No,65,Pass
38,78.98249672,96,No,71,Pass
37,58.10069389,90,Yes,58,Fail
33,86.20516646,68,No,51,Fail
38,78.98249672,96,No,71,Pass
17,82.44114201,98,Yes,62,Pass
20,64.97979559,65,No,50,Fail
30,55.24345833,98,No,62,Pass
12,86.79523066,71,Yes,57,Fail
37,79.86390411,73,Yes,70,Pass
10,67.25960724,96,Yes,64,Pass
24,86.3060422,91,Yes,65,Pass
35,60.36138245,93,No,63,Pass
29,66.07913823,98,Yes,60,Pass
38,65.38886199,93,No,67,Pass
16,95.15755293,65,No,55,Fail
39,79.64814526,50,No,55,Fail
14,61.36754915,85,Yes,50,Fail
19,62.57212198,73,No,50,Fail
29,92.536373,55,No,61,Pass
38,61.79530173,60,No,54,Fail
26,85.80895374,78,Yes,58,Fail
15,77.83607924,95,Yes,61,Pass
23,85.70295999,98,No,60,Pass
35,98.77706578,66,Yes,71,Pass
38,76.75348595,70,No,64,Pass
10,86.8702603,52,No,50,Fail
21,71.33944527,55,No,50,Fail
20,75.76180274,94,No,56,Fail
24,86.3060422,91,Yes,65,Pass
39,54.61452931,73,Yes,60,Pass
38,91.82824066,64,Yes,61,Pass
21,51.59023407,74,Yes,50,Fail
26,70.44775885,83,No,57,Fail
12,90.37151259,63,No,53,Fail
17,53.33095562,85,Yes,50,Fail
18,93.93145577,81,Yes,57,Fail
29,81.83221608,51,Yes,52,Fail
31,84.56109288,71,Yes,56,Fail
18,63.18419013,90,Yes,57,Fail
13,68.94107828,68,No,50,Fail
38,81.20507721,59,No,60,Pass
24,89.38949444,95,Yes,61,Pass
17,91.25536657,67,No,59,Fail
35,90.25223338,82,Yes,68,Pass
24,69.86590577,69,No,54,Fail
11,84.68588037,88,Yes,67,Pass
35,95.53120018,66,No,65,Pass
19,74.05439742,61,No,51,Fail
33,56.94123867,89,No,59,Fail
21,95.86978065,58,Yes,66,Pass
35,66.71814057,65,Yes,58,Fail
21,84.94229266,90,Yes,63,Pass
16,64.70223396,84,No,50,Fail
23,84.84807312,74,Yes,68,Pass
30,99.8846308,98,No,74,Pass
12,84.58571986,80,Yes,60,Pass
30,95.63747314,78,No,61,Pass
39,61.66082058,98,No,63,Pass
38,76.75348595,70,No,64,Pass
15,77.83607924,95,Yes,61,Pass
38,91.82824066,64,Yes,61,Pass
11,94.98337226,91,No,57,Fail
32,55.83480321,89,No,59,Fail
31,79.41318785,67,Yes,65,Pass
28,90.26574837,74,Yes,64,Pass
31,87.8540601,88,No,65,Pass
37,79.86390411,73,Yes,70,Pass
31,76.49200116,55,No,50,Fail
31,87.8540601,88,No,65,Pass
37,92.32039247,61,No,61,Pass
19,71.57640716,62,Yes,52,Fail
27,92.07648302,99,No,65,Pass
31,66.87234169,81,No,59,Fail
14,80.1978936,56,No,52,Fail
30,72.98407564,65,No,54,Fail
20,59.22314357,96,Yes,64,Pass
18,63.4336241,86,No,50,Fail
31,77.58612976,99,No,66,Pass
10,81.65490317,62,Yes,50,Fail
34,74.00229835,71,No,54,Fail
26,52.58177389,58,Yes,50,Fail
34,87.9196207,74,No,58,Fail
14,61.26663989,63,No,50,Fail
21,91.87453945,96,Yes,65,Pass
34,88.56233343,96,Yes,72,Pass
39,81.86157899,95,Yes,61,Pass
31,78.66471891,71,No,55,Fail
33,71.02678893,74,No,58,Fail
35,60.36138245,93,No,63,Pass
27,77.79032907,67,Yes,58,Fail
39,86.52745684,61,Yes,53,Fail
37,86.04065482,64,No,61,Pass
15,79.37268021,83,No,61,Pass
19,59.00336362,50,Yes,50,Fail
14,94.87152049,74,Yes,63,Pass
16,91.5685745,72,Yes,52,Fail
11,76.7667782,72,Yes,57,Fail
22,70.12750218,66,No,50,Fail
34,78.288831,87,Yes,65,Pass
21,95.52356392,62,No,50,Fail
14,87.66231104,57,No,55,Fail
38,68.15296061,79,Yes,60,Pass
12,74.3178741,81,Yes,50,Fail
11,84.68588037,88,Yes,67,Pass
35,66.03210961,62,No,50,Fail
15,91.85394954,93,Yes,67,Pass
30,91.04307366,60,No,50,Fail
14,57.73360704,57,Yes,52,Fail
15,76.32892333,66,Yes,50,Fail
21,71.85966982,98,No,62,Pass
35,98.77706578,66,Yes,71,Pass
23,85.70295999,98,No,60,Pass
33,95.77568386,89,No,69,Pass
17,63.49556112,80,No,53,Fail
26,55.11063321,71,No,50,Fail
12,84.38923585,61,Yes,50,Fail
21,84.94229266,90,Yes,63,Pass
32,67.76812259,88,No,56,Fail
35,73.00595795,74,Yes,60,Pass
17,97.46533985,55,No,50,Fail
39,54.61452931,73,Yes,60,Pass
10,52.34482339,52,No,50,Fail
27,71.93723377,92,Yes,59,Fail
17,98.94657178,57,No,50,Fail
29,68.86429826,92,No,64,Pass
35,61.0048607,60,No,50,Fail
13,84.22857739,100,Yes,65,Pass
37,67.38096072,86,No,65,Pass
35,78.65754246,76,Yes,60,Pass
22,66.96356229,73,No,61,Pass
32,75.58285068,86,Yes,63,Pass
35,87.08434721,73,Yes,60,Pass
13,95.53430991,56,Yes,60,Pass
39,51.52360764,92,No,64,Pass
14,72.9494494,93,No,54,Fail
32,93.03160089,78,Yes,77,Pass
32,85.54762394,97,Yes,64,Pass
21,59.21854603,99,Yes,60,Pass
33,87.29872628,73,Yes,72,Pass
32,98.39868827,64,No,67,Pass
38,65.38886199,93,No,67,Pass
39,76.8295323,62,Yes,68,Pass
35,90.25223338,82,Yes,68,Pass
25,82.56836055,63,Yes,54,Fail
32,93.36074905,83,No,66,Pass
12,70.21907508,51,No,50,Fail
37,97.76181564,57,No,59,Fail
26,68.88629737,87,Yes,65,Pass
20,88.92859695,89,Yes,61,Pass
